,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Population,,,,,,,,,,,,,,,,,,,,,,,,
,,Asylum,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Figure 2: Countries of origin of (non-EU) asylum seekers in the EU-28 Member States, 2016 and 2017",,,,,,,,,,,,,,,,,,,,,,,,
,,(thousands of first time applicants),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2016,2017,,,,,,,,,,,,,,,,,,,,,,
,, Syria,334.9,102.4,,,,,,,,,,,,,,,,,,,,,,
,, Iraq,127.1,47.5,,,,,,,,,,,,,,,,,,,,,,
,, Afghanistan,183.0,43.6,,,,,,,,,,,,,,,,,,,,,,
,, Nigeria,46.3,39.1,,,,,,,,,,,,,,,,,,,,,,
,, Pakistan,47.6,29.6,,,,,,,,,,,,,,,,,,,,,,
,, Eritrea,33.4,24.4,,,,,,,,,,,,,,,,,,,,,,
,, Albania,29.2,22.1,,,,,,,,,,,,,,,,,,,,,,
,, Bangladesh,16.0,19.3,,,,,,,,,,,,,,,,,,,,,,
,, Guinea,13.5,17.7,,,,,,,,,,,,,,,,,,,,,,
,, Iran,40.2,17.3,,,,,,,,,,,,,,,,,,,,,,
,, Turkey,10.1,14.6,,,,,,,,,,,,,,,,,,,,,,
,, Côte d'Ivoire,11.2,14.0,,,,,,,,,,,,,,,,,,,,,,
,, Somalia,19.0,12.7,,,,,,,,,,,,,,,,,,,,,,
,, Russia,23.1,12.6,,,,,,,,,,,,,,,,,,,,,,
,," Gambia, The",15.7,12.5,,,,,,,,,,,,,,,,,,,,,,
,, Venezuela,4.7,11.9,,,,,,,,,,,,,,,,,,,,,,
,, Mali,9.5,10.3,,,,,,,,,,,,,,,,,,,,,,
,, Senegal,9.5,10.2,,,,,,,,,,,,,,,,,,,,,,
,, Georgia,7.3,9.9,,,,,,,,,,,,,,,,,,,,,,
,, Algeria,11.2,9.2,,,,,,,,,,,,,,,,,,,,,,
,, Sudan,11.1,9.2,,,,,,,,,,,,,,,,,,,,,,
,, Ukraine,11.1,8.9,,,,,,,,,,,,,,,,,,,,,,
,, Morocco,11.2,7.8,,,,,,,,,,,,,,,,,,,,,,
,, Armenia,7.7,6.8,,,,,,,,,,,,,,,,,,,,,,
,, Ghana,7.8,6.7,,,,,,,,,,,,,,,,,,,,,,
