,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Population,,,,,,,,,,,,,,,,,,,,,
,,Asylum,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,"Figure 3: Number of (non-EU) asylum seekers in the EU and EFTA Member States, 2016 and 2017",,,,,,,,,,,,,,,,,,,,,
,,(thousands of first time applicants),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,2016,2017,2016,2017,,,,,,,,,,,,,,,,,
,,Germany,722.3,198.3,296.0,221.2,,,,,,,,,,,,,,,,,
,,Italy,121.2,126.6,121.2,126.6,,,,,,,,,,,,,,,,,
,,France,76.8,91.1,76.8,91.1,,,,,,,,,,,,,,,,,
,,Greece,49.9,57.0,49.9,57.0,,,,,,,,,,,,,,,,,
,,United Kingdom,39.2,33.3,39.2,33.3,,,,,,,,,,,,,,,,,
,,Spain,15.6,30.4,15.6,30.4,,,,,,,,,,,,,,,,,
,,Sweden,22.3,22.2,22.3,22.2,,,,,,,,,,,,,,,,,
,,Austria,39.9,22.2,39.9,22.2,,,,,,,,,,,,,,,,,
,,Netherlands,19.3,16.1,19.3,16.1,,,,,,,,,,,,,,,,,
,,Belgium,14.3,14.0,14.3,14.0,,,,,,,,,,,,,,,,,
,,Romania,1.9,4.7,1.9,4.7,,,,,,,,,,,,,,,,,
,,Cyprus,2.8,4.5,2.8,4.5,,,,,,,,,,,,,,,,,
,,Finland,5.3,4.3,5.3,4.3,,,,,,,,,,,,,,,,,
,,Bulgaria,19.0,3.5,19.0,3.5,,,,,,,,,,,,,,,,,
,,Denmark,6.1,3.1,6.1,3.1,,,,,,,,,,,,,,,,,
,,Hungary,28.2,3.1,28.2,3.1,,,,,,,,,,,,,,,,,
,,Poland,9.8,3.0,9.8,3.0,,,,,,,,,,,,,,,,,
,,Ireland,2.3,2.9,2.3,2.9,,,,,,,,,,,,,,,,,
,,Luxembourg,2.1,2.3,2.1,2.3,,,,,,,,,,,,,,,,,
,,Malta,1.7,1.6,1.7,1.6,,,,,,,,,,,,,,,,,
,,Slovenia,1.3,1.4,1.3,1.4,,,,,,,,,,,,,,,,,
,,Czech Republic,1.2,1.1,1.2,1.1,,,,,,,,,,,,,,,,,
,,Portugal,0.7,1.0,0.7,1.0,,,,,,,,,,,,,,,,,
,,Croatia,2.2,0.9,2.2,0.9,,,,,,,,,,,,,,,,,
