,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Asylum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Figure 4: Distribution by age of (non-EU) first time asylum applicants in the EU and EFTA Member States, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0–13,14–17,18–34,35–64,65 and over,Age unknown,,,,,,,,,,,,,,,,,,,,,,,,,
,,EU-28,23.3,7.5,51.5,17.0,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Belgium,23.3,10.2,45.0,20.4,1.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bulgaria,18.4,14.4,53.6,13.1,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Czech Republic,17.5,3.1,41.2,36.8,1.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Denmark,20.6,16.6,43.2,18.6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Germany,36.8,8.2,38.8,15.5,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Estonia,38.9,2.8,27.8,27.8,2.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ireland,23.9,5.0,48.3,22.5,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Greece,25.1,9.5,48.3,16.7,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Spain,20.3,3.6,51.5,23.6,0.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,France,19.0,3.1,54.3,22.6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Croatia,11.9,6.8,63.6,17.0,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Italy,4.5,7.8,77.0,10.7,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cyprus,10.5,4.8,63.1,20.9,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,Latvia,31.0,5.6,42.3,19.7,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
