,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Population,,,,,,,,,,,,,,,,,,
,,Asylum,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,"Figure 5: Distribution by status of (non-EU) asylum applicants from minors in the EU and EFTA Member States, 2017",,,,,,,,,,,,,,,,,,
,,(%),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Accompanied,Unaccompanied,,,,,,,,,,,,,,,,
,,EU-28,87.0,13.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Czech Republic,100.0,0.0,,,,,,,,,,,,,,,,
,,Estonia,100.0,0.0,,,,,,,,,,,,,,,,
,,Lithuania,99.4,0.6,,,,,,,,,,,,,,,,
,,Malta,98.7,1.3,,,,,,,,,,,,,,,,
,,Spain,97.8,2.2,,,,,,,,,,,,,,,,
,,France,97.3,2.7,,,,,,,,,,,,,,,,
,,Ireland,96.7,3.3,,,,,,,,,,,,,,,,
,,Poland,95.4,4.6,,,,,,,,,,,,,,,,
,,Portugal,93.7,6.3,,,,,,,,,,,,,,,,
,,Luxembourg,92.6,7.4,,,,,,,,,,,,,,,,
,,Latvia,92.4,7.6,,,,,,,,,,,,,,,,
,,Germany,91.4,8.6,,,,,,,,,,,,,,,,
,,Austria,89.9,10.1,,,,,,,,,,,,,,,,
,,Greece,89.0,11.0,,,,,,,,,,,,,,,,
,,Finland,88.5,11.5,,,,,,,,,,,,,,,,
,,Belgium,87.8,12.2,,,,,,,,,,,,,,,,
,,Hungary,87.3,12.7,,,,,,,,,,,,,,,,
,,Romania,85.8,14.2,,,,,,,,,,,,,,,,
,,Sweden,85.2,14.8,,,,,,,,,,,,,,,,
,,Croatia,80.9,19.1,,,,,,,,,,,,,,,,
,,Netherlands,78.4,21.6,,,,,,,,,,,,,,,,
,,United Kingdom,77.7,22.3,,,,,,,,,,,,,,,,
,,Slovakia,77.1,22.9,,,,,,,,,,,,,,,,
,,Cyprus,75.5,24.5,,,,,,,,,,,,,,,,
,,Bulgaria,73.2,26.8,,,,,,,,,,,,,,,,
,,Denmark,71.8,28.2,,,,,,,,,,,,,,,,
,,Italy,60.9,39.1,,,,,,,,,,,,,,,,
,,Slovenia,56.8,43.2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Liechtenstein,96.2,3.8,,,,,,,,,,,,,,,,
,,Iceland,95.2,4.8,,,,,,,,,,,,,,,,
,,Switzerland,90.2,9.8,,,,,,,,,,,,,,,,
,,Norway,86.1,13.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Source: Eurostat (online data codes: migr_asyappctza and migr_asyunaa),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Source: Eurostat (online data codes: migr_asyappctza and migr_asyunaa),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Bookmarks:,,,,,,,,,,,,,,,,,,,,
"http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-057066_QID_37BBC290_UID_-3F171EB0&layout=TIME,C,X,0;AGE,L,X,1;GEO,L,Y,0;ASYL_APP,L,Z,0;SEX,L,Z,1;CITIZEN,L,Z,2;UNIT,L,Z,3;INDICATORS,C,Z,4;&zSelection=DS-057066SEX,T;DS-057066CITIZEN,EXT_EU28;DS-057066UNIT,PER;DS-057066ASYL_APP,ASY_APP;DS-057066INDICATORS,OBS_FLAG;&rankName1=UNIT_1_2_-1_2&rankName2=CITIZEN_1_2_-1_2&rankName3=INDICATORS_1_2_-1_2&rankName4=ASYL-APP_1_2_-1_2&rankName5=SEX_1_2_-1_2&rankName6=TIME_1_0_0_0&rankName7=AGE_1_2_1_0&rankName8=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23",,,,,,,,,,,,,,,,,,,,
"http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-057074_QID_-16709A86_UID_-3F171EB0&layout=TIME,C,X,0;GEO,L,Y,0;CITIZEN,L,Z,0;SEX,L,Z,1;AGE,L,Z,2;UNIT,L,Z,3;INDICATORS,C,Z,4;&zSelection=DS-057074UNIT,PER;DS-057074CITIZEN,EXT_EU28;DS-057074INDICATORS,OBS_FLAG;DS-057074SEX,T;DS-057074AGE,TOTAL;&rankName1=UNIT_1_2_-1_2&rankName2=AGE_1_2_-1_2&rankName3=CITIZEN_1_2_-1_2&rankName4=INDICATORS_1_2_-1_2&rankName5=SEX_1_2_-1_2&rankName6=TIME_1_0_0_0&rankName7=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23",,,,,,,,,,,,,,,,,,,,
