,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Asylum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Figure 6: Share of male (non-EU) first time asylum applicants in the EU-28 Member States, by age group, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0–13,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14–17,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18–34,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35–64,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65 and over,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Source: Eurostat (online data code: migr_asyappctza),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookmarks:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
