,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Asylum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Figure 7: Number of first instance and final decisions on (non-EU) asylum applications, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,First instance decisions,Final decisions,First instance decisions,Final decisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Germany,524.2,158.1,174.2,158.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,France,111.4,33.2,111.4,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Italy,78.2,12.6,78.2,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sweden,61.1,18.9,61.1,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Austria,56.3,7.0,56.3,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,United Kingdom,27.8,12.5,27.8,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Greece,24.5,9.5,24.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Belgium,24.0,5.1,24.0,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Netherlands,15.9,2.2,15.9,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Spain,13.3,0.6,13.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Finland,7.2,1.3,7.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Denmark,6.9,2.1,6.9,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bulgaria,4.7,0.0,4.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hungary,4.2,0.0,4.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cyprus,2.5,0.4,2.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Romania,2.1,0.2,2.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
