,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Asylum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Figure 9: Distribution of final decisions on (non-EU) asylum applications, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Refugee status,Subsidiary protection,Humanitarian reasons,Rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EU-28,18.6,11.7,5.5,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ireland,80.0,0.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Finland,42.6,15.4,7.4,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Netherlands,21.9,31.4,5.3,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,United Kingdom,49.5,3.0,4.4,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Austria,42.9,8.7,4.8,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bulgaria,14.3,33.3,0.0,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Romania,3.8,40.9,0.0,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Germany,19.4,14.2,6.8,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Italy,3.0,19.5,4.0,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,France,16.2,7.8,0.0,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sweden,10.0,7.0,6.5,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Croatia,20.0,0.0,0.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Denmark,12.0,6.7,0.0,81.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lithuania,0.0,17.9,0.0,82.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Greece,5.3,1.0,10.0,83.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
