,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Asylum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Table 1: Five main citizenships of (non-EU) asylum applicants, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(number of first time applicants, rounded figures)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Belgium,,,Bulgaria,,,Czech Republic,,,Denmark,,,,,,,,,,,,,,,,,,,,,
,,Syria,"2,625 ",,Afghanistan,"1,050 ",,Ukraine,295 ,,Syria,765 ,,,,,,,,,,,,,,,,,,,,
,,Afghanistan,995 ,,Iraq,955 ,,Azerbaijan,120 ,,Morocco,300 ,,,,,,,,,,,,,,,,,,,,
,,Palestine,815 ,,Syria,940 ,,Armenia,115 ,,Eritrea,295 ,,,,,,,,,,,,,,,,,,,,
,,Guinea,750 ,,Pakistan,205 ,,Georgia,110 ,,Afghanistan,170 ,,,,,,,,,,,,,,,,,,,,
,,Albania,670 ,,Iran,75 ,,Syria,70 ,,Iran,145 ,,,,,,,,,,,,,,,,,,,,
,,Other,"8,180 ",,Other,245 ,,Other,430 ,,Other,"1,450 ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Germany,,,Estonia (¹),,,Ireland,,,Greece,,,,,,,,,,,,,,,,,,,,,
,,Syria,"48,970 ",,Syria,80 ,,Syria,545 ,,Syria,"16,345 ",,,,,,,,,,,,,,,,,,,,
,,Iraq,"21,930 ",,Russia,15 ,,Georgia,300 ,,Pakistan,"8,350 ",,,,,,,,,,,,,,,,,,,,
,,Afghanistan,"16,425 ",,Georgia,10 ,,Albania,280 ,,Iraq,"7,875 ",,,,,,,,,,,,,,,,,,,,
,,Eritrea,"10,225 ",,Ukraine,10 ,,Pakistan,195 ,,Afghanistan,"7,485 ",,,,,,,,,,,,,,,,,,,,
,,Iran,"8,610 ",,Iraq,5 ,,Nigeria,185 ,,Albania,"2,345 ",,,,,,,,,,,,,,,,,,,,
,,Other,"92,095 ",,Other,60 ,,Other,"1,405 ",,Other,"14,620 ",,,,,,,,,,,,,,,,,,,,
