"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Total","Less than 14 years","Asylum applicant","Person","33,840","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Total","Less than 14 years","First time applicant","Person","22,340","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Total","From 14 to 17 years","Asylum applicant","Person","12,690","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Total","From 14 to 17 years","First time applicant","Person","11,375","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Total","Less than 18 years","Asylum applicant","Person","46,530","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Total","Less than 18 years","First time applicant","Person","33,715","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Total","From 18 to 34 years","Asylum applicant","Person","136,230","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Total","From 18 to 34 years","First time applicant","Person","92,915","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Total","From 35 to 64 years","Asylum applicant","Person","40,800","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Total","From 35 to 64 years","First time applicant","Person","24,705","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Total","65 years or over","Asylum applicant","Person","1,465","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Total","65 years or over","First time applicant","Person","1,095","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Males","Less than 14 years","Asylum applicant","Person","17,505","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Males","Less than 14 years","First time applicant","Person","11,840","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Males","From 14 to 17 years","Asylum applicant","Person","9,355","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Males","From 14 to 17 years","First time applicant","Person","8,725","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Males","Less than 18 years","Asylum applicant","Person","26,860","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Males","Less than 18 years","First time applicant","Person","20,565","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Males","From 18 to 34 years","Asylum applicant","Person","105,070","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Males","From 18 to 34 years","First time applicant","Person","70,220","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Males","From 35 to 64 years","Asylum applicant","Person","27,820","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Males","From 35 to 64 years","First time applicant","Person","15,745","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Males","65 years or over","Asylum applicant","Person","605","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Males","65 years or over","First time applicant","Person","445","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Females","Less than 14 years","Asylum applicant","Person","16,325","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Females","Less than 14 years","First time applicant","Person","10,490","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Females","From 14 to 17 years","Asylum applicant","Person","3,330","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Females","From 14 to 17 years","First time applicant","Person","2,650","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Females","Less than 18 years","Asylum applicant","Person","19,650","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Females","Less than 18 years","First time applicant","Person","13,140","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Females","From 18 to 34 years","Asylum applicant","Person","31,130","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Females","From 18 to 34 years","First time applicant","Person","22,690","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Females","From 35 to 64 years","Asylum applicant","Person","12,975","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Females","From 35 to 64 years","First time applicant","Person","8,955","d"
