"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value","Flag and Footnotes"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Total","Total","Total","Person","86,770","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","19,085","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","14,145","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","2,090","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Total","Total","Rejected","Person","67,685","d"
"2008","European Union (current composition)","Total","Total","Total","Total","Person","87,175","d"
"2008","European Union (current composition)","Total","Total","Total","Total positive decisions","Person","19,140","d"
"2008","European Union (current composition)","Total","Total","Total","Geneva Convention status","Person","14,190","d"
"2008","European Union (current composition)","Total","Total","Total","Humanitarian status","Person","2,100","d"
"2008","European Union (current composition)","Total","Total","Total","Rejected","Person","68,035","d"
"2008","Belgium","Extra-EU28 (current composition)","Total","Total","Total","Person","5,070",""
"2008","Belgium","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","395",""
"2008","Belgium","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","315",""
"2008","Belgium","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person",":",""
"2008","Belgium","Extra-EU28 (current composition)","Total","Total","Rejected","Person","4,675",""
"2008","Belgium","Total","Total","Total","Total","Person","5,240",""
"2008","Belgium","Total","Total","Total","Total positive decisions","Person","395",""
"2008","Belgium","Total","Total","Total","Geneva Convention status","Person","315",""
"2008","Belgium","Total","Total","Total","Humanitarian status","Person",":",""
"2008","Belgium","Total","Total","Total","Rejected","Person","4,840",""
"2008","Bulgaria","Extra-EU28 (current composition)","Total","Total","Total","Person","25",""
"2008","Bulgaria","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","10",""
"2008","Bulgaria","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","0",""
"2008","Bulgaria","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person",":",""
"2008","Bulgaria","Extra-EU28 (current composition)","Total","Total","Rejected","Person","20",""
"2008","Bulgaria","Total","Total","Total","Total","Person","25",""
"2008","Bulgaria","Total","Total","Total","Total positive decisions","Person","10",""
"2008","Bulgaria","Total","Total","Total","Geneva Convention status","Person","0",""
"2008","Bulgaria","Total","Total","Total","Humanitarian status","Person",":",""
"2008","Bulgaria","Total","Total","Total","Rejected","Person","20",""
"2008","Czechia","Extra-EU28 (current composition)","Total","Total","Total","Person","1,475",""
